idx,premiseID,time,dailyDelivered,Temp
95,16206,2019-04-06 00:00:00,10296.72,56.83208333
96,16206,2019-04-07 00:00:00,10284.2775,56.68958333
97,16206,2019-04-08 00:00:00,10339.7175,62.735
98,16206,2019-04-09 00:00:00,10326.33,61.41458333
99,16206,2019-04-10 00:00:00,7658.75250000001,36.62666667
100,16206,2019-04-11 00:00:00,6302.0475,32.38458333
101,16206,2019-04-12 00:00:00,10180.0125,32.70083333
102,16206,2019-04-13 00:00:00,10185.6825,35.69666667
103,16206,2019-04-14 00:00:00,10243.485,46.31375
104,16206,2019-04-15 00:00:00,10275.4575,55.48583333
105,16206,2019-04-16 00:00:00,10278.135,51.91708333
106,16206,2019-04-17 00:00:00,10293.4125,54.95666667
107,16206,2019-04-18 00:00:00,10273.095,52.58833333
108,16206,2019-04-19 00:00:00,10304.91,57.43291667
109,16206,2019-04-20 00:00:00,10326.1725,61.84583333
110,16206,2019-04-21 00:00:00,10336.2525,58.04666667
111,16206,2019-04-22 00:00:00,10243.17,44.92416667
112,16206,2019-04-23 00:00:00,10289.79,53.66583333
113,16206,2019-04-24 00:00:00,10314.36,60.1625
114,16206,2019-04-25 00:00:00,10309.4775,56.91291667
115,16206,2019-04-26 00:00:00,10307.2725,57.73916667
116,16206,2019-04-27 00:00:00,10304.1225,55.54208333
117,16206,2019-04-28 00:00:00,10280.655,55.39625
118,16206,2019-04-29 00:00:00,10194.1875,32.46833333
119,16206,2019-04-30 00:00:00,10193.5575,32.26458333
120,16206,2019-05-01 00:00:00,10220.9625,40.02833333
121,16206,2019-05-02 00:00:00,10259.7075,46.69291667
122,16206,2019-05-03 00:00:00,10291.05,54.19083333
123,16206,2019-05-04 00:00:00,10315.7775,56.90375
124,16206,2019-05-05 00:00:00,10340.9775,62.16791667
125,16206,2019-05-06 00:00:00,10333.89,57.53583333
126,16206,2019-05-07 00:00:00,10257.345,46.28166667
127,16206,2019-05-08 00:00:00,10233.5625,44.34916667
128,16206,2019-05-09 00:00:00,10200.015,36.68916667
129,16206,2019-05-10 00:00:00,10247.58,44.32166667
130,16206,2019-05-11 00:00:00,10269.0,49.2375
131,16206,2019-05-12 00:00:00,10320.975,58.22416667
132,16206,2019-05-13 00:00:00,10355.1525,64.22333333
133,16206,2019-05-14 00:00:00,10360.35,64.99041667
134,16206,2019-05-15 00:00:00,10374.3675,66.92416667
135,16206,2019-05-16 00:00:00,10393.425,67.44375
136,16206,2019-05-17 00:00:00,10329.165,56.24875
137,16206,2019-05-18 00:00:00,10283.805,52.00458333
138,16206,2019-05-19 00:00:00,10239.5475,42.92125
139,16206,2019-05-20 00:00:00,10213.4025,36.885
140,16206,2019-05-21 00:00:00,10211.5125,37.33875
141,16206,2019-05-22 00:00:00,10247.58,43.18375
142,16206,2019-05-23 00:00:00,10239.2325,42.05041667
143,16206,2019-05-24 00:00:00,10311.6825,55.69833333
144,16206,2019-05-25 00:00:00,10339.875,59.22083333
145,16206,2019-05-26 00:00:00,10386.18,61.76791667
146,16206,2019-05-27 00:00:00,10340.0325,55.60541667
147,16206,2019-05-28 00:00:00,9911.0025,49.62083333
148,16206,2019-05-29 00:00:00,9597.2625,52.74666667
149,16206,2019-05-30 00:00:00,9612.697499999991,57.65958333
150,16206,2019-05-31 00:00:00,9639.315,60.9375
151,16206,2019-06-01 00:00:00,9663.25499999999,62.73416667
152,16206,2019-06-02 00:00:00,9663.72749999999,64.10541667
153,16206,2019-06-03 00:00:00,9664.83,64.23208333
154,16206,2019-06-04 00:00:00,9659.0025,66.25166667
155,16206,2019-06-05 00:00:00,9671.13,65.89291667
156,16206,2019-06-06 00:00:00,9678.8475,68.92583333
157,16206,2019-06-07 00:00:00,9687.9825,70.45791667
158,16206,2019-06-08 00:00:00,9677.5875,64.69791667
159,16206,2019-06-09 00:00:00,9627.81749999999,56.15416667
160,16206,2019-06-10 00:00:00,9648.134999999991,61.76
161,16206,2019-06-11 00:00:00,9672.705,64.6475
162,16206,2019-06-12 00:00:00,9687.982499999991,64.79833333
163,16206,2019-06-13 00:00:00,9681.68249999999,68.01
164,16206,2019-06-14 00:00:00,9708.1425,69.10333333
165,16206,2019-06-15 00:00:00,9702.1575,67.04708333
